Chart Year,Fiscal Year,Student Beds (UBCV),Student Beds (UBCO),Percentage change in student beds vs 2007 (%) (UBCV),Percentage change in student beds vs 2007 (%) (UBCO)
2007,2007-2008,7223,698,NA,NA
2008,2008-2009,8265,972,14,39
2009,2009-2010,8265,1322,14,89
2010,2010-2011,8265,1462,14,109
2011,2011-2012,8839,1676,22,140
2012,2012-2013,9432,1676,31,140
2013,2013-2014,10041,1676,39,140
2014,2014-2015,9989,1676,38,140
2015,2015-2016,10543,1676,46,140
2016,2016-2017,11038,1676,53,140
2017,2017-2018,11795,1676,63,140
2018,2018-2019,11795,1676,63,140
2019,2019-2020,12425,1676,72,140
2020,2020-2021,12425,1896,72,172
2021,2021-2022,12711,2116,76,203
2022,2022-2023,12795,2116,77,203
2023,2023-2024,13394,2116,85,203
